"Device: USB-2408-2AO"
"Serial Number: 22C3E45"
"Channel Count: 4"
"Sample Count: 413"
"Start Time: 20/11/2025 11:08:53.4"
"Scan Rate: 2.48399996757507"
"Sample","Time (s)","PH1 (°C)","PH3 (°C)","PH2 (°C)","Ambient (°C)"
"313","2:06.0","134.550","161.194","147.424","20.953"
"314","2:06.4","134.864","161.412","147.682","20.952"
"315","2:06.8","135.123","161.649","147.931","20.953"
"316","2:07.2","135.465","161.976","148.244","20.959"
"317","2:07.6","135.909","162.319","148.580","20.949"
"318","2:08.0","136.500","162.632","148.967","20.950"
"319","2:08.4","136.957","162.936","149.328","20.951"
"320","2:08.8","137.464","163.167","149.629","20.953"
"321","2:09.2","137.937","163.380","149.942","20.959"
"322","2:09.6","138.335","163.671","150.256","20.960"
"323","2:10.0","138.761","163.949","150.583","20.959"
"324","2:10.4","139.172","164.273","150.917","21.012"
"325","2:10.8","139.546","164.605","151.262","21.010"
"326","2:11.2","139.779","164.847","151.555","21.017"
"327","2:11.6","139.977","165.069","151.819","21.017"
"328","2:12.0","140.228","165.339","152.116","21.021"
"329","2:12.4","140.513","165.644","152.405","21.023"
"330","2:12.9","140.825","166.004","152.717","21.019"
"331","2:13.3","141.299","166.310","153.062","21.018"
"332","2:13.7","141.683","166.578","153.385","21.020"
"333","2:14.1","142.162","166.837","153.678","21.021"
"334","2:14.5","142.564","167.084","153.990","21.024"
"335","2:14.9","142.945","167.316","154.307","21.025"
"336","2:15.3","143.300","167.623","154.646","21.018"
"337","2:15.7","143.714","167.906","154.992","21.016"
"338","2:16.1","144.092","168.173","155.304","21.020"
"339","2:16.5","144.463","168.376","155.588","21.019"
"340","2:16.9","144.748","168.602","155.873","21.026"
"341","2:17.3","145.068","168.876","156.191","21.017"
"342","2:17.7","145.401","169.147","156.511","21.001"
"343","2:18.1","145.677","169.431","156.803","21.006"
"344","2:18.5","145.953","169.664","157.088","21.012"
"345","2:18.9","146.268","169.872","157.366","21.010"
"346","2:19.3","146.609","170.076","157.621","21.017"
"347","2:19.7","146.783","170.260","157.885","21.016"
"348","2:20.1","147.008","170.418","158.167","21.015"
"349","2:20.5","147.282","170.704","158.507","21.014"
"350","2:20.9","147.490","170.849","158.766","21.019"
"351","2:21.3","147.632","170.975","159.041","21.020"
"352","2:21.7","147.744","171.278","159.334","21.017"
"353","2:22.1","147.852","171.573","159.615","21.012"
"354","2:22.5","148.106","171.783","159.872","21.016"
"355","2:22.9","148.383","172.006","160.105","21.018"
"356","2:23.3","148.361","171.886","160.299","21.016"
"357","2:23.7","148.371","171.678","160.441","21.019"
"358","2:24.1","148.476","171.392","160.546","21.017"
"359","2:24.5","148.593","171.032","160.602","21.015"
"360","2:24.9","148.644","170.526","160.583","21.017"
"361","2:25.3","148.676","169.985","160.526","21.017"
"362","2:25.7","148.730","169.507","160.418","21.019"
"363","2:26.1","148.749","169.072","160.287","21.013"
"364","2:26.5","148.717","168.576","160.122","21.011"
"365","2:26.9","148.686","168.067","159.936","21.013"
"366","2:27.3","148.629","167.599","159.733","21.011"
"367","2:27.7","148.302","167.072","159.514","21.011"
"368","2:28.1","147.860","166.576","159.265","21.011"
"369","2:28.6","147.570","166.082","159.015","21.011"
"370","2:29.0","147.393","165.591","158.749","21.009"
"371","2:29.4","147.262","165.087","158.465","21.002"
"372","2:29.8","147.086","164.578","158.165","21.005"
"373","2:30.2","146.705","164.080","157.852","21.004"
"374","2:30.6","146.301","163.611","157.537","21.064"
"375","2:31.0","146.053","163.115","157.214","21.070"
"376","2:31.4","145.772","162.473","156.856","21.068"
"377","2:31.8","145.596","161.896","156.490","21.070"
"378","2:32.2","145.456","161.417","156.129","21.064"
"379","2:32.6","145.351","160.933","155.765","21.059"
"380","2:33.0","145.213","160.447","155.397","21.052"
"381","2:33.4","144.919","159.973","155.036","21.056"
"382","2:33.8","144.633","159.521","154.678","21.056"
"383","2:34.2","144.400","159.051","154.306","21.052"
"384","2:34.6","144.124","158.517","153.905","21.059"
"385","2:35.0","143.859","158.034","153.498","21.046"
"386","2:35.4","143.596","157.582","153.115","21.051"
"387","2:35.8","143.302","157.130","152.729","21.053"
"388","2:36.2","142.989","156.663","152.360","21.048"
"389","2:36.6","142.639","156.157","151.990","21.048"
"390","2:37.0","142.247","155.635","151.622","21.048"
"391","2:37.4","141.793","155.100","151.248","21.047"
"392","2:37.8","141.326","154.608","150.866","21.045"
"393","2:38.2","140.866","154.132","150.494","21.050"
"394","2:38.6","140.436","153.709","150.092","21.043"
"395","2:39.0","140.014","153.257","149.710","21.048"
"396","2:39.4","139.695","152.836","149.309","21.039"
"397","2:39.8","139.416","152.438","148.924","21.032"
"398","2:40.2","139.161","152.040","148.545","21.032"
"399","2:40.6","138.995","151.694","148.227","21.029"
"400","2:41.0","138.761","151.304","147.857","21.028"
"401","2:41.4","138.505","150.921","147.494","21.029"
"402","2:41.8","138.275","150.544","147.142","21.030"
"403","2:42.2","138.061","150.153","146.789","21.031"
"404","2:42.6","137.842","149.746","146.433","21.028"
"405","2:43.0","137.643","149.311","146.076","21.025"
"406","2:43.4","137.457","148.895","145.714","21.021"
"407","2:43.8","137.270","148.489","145.366","21.021"
"408","2:44.3","137.061","148.086","145.017","21.019"
"409","2:44.7","136.833","147.680","144.674","21.023"
"410","2:45.1","136.588","147.297","144.344","21.009"
"411","2:45.5","136.282","146.831","144.012","21.016"
"412","2:45.9","135.764","146.336","143.680","21.011"
